date,open,high,low,close,volume,vwap,transactions
2024-12-31,41.07,41.284,39.95,40.23,911111.0,40.2651,10332
2025-01-02,41.06,41.3799,39.34,39.38,548690.0,39.8959,10959
2025-01-03,39.44,40.026,39.19,39.62,370329.0,39.6498,9169
2025-01-06,39.94,40.5396,39.56,39.81,579328.0,39.9549,10314
2025-01-07,39.62,40.165,38.8,39.61,538996.0,39.4362,11718
2025-01-08,39.11,39.27,38.5,39.08,512879.0,38.9798,9435
2025-01-10,38.9,39.3,38.22,38.98,492197.0,38.9215,11195
2025-01-13,38.43,38.55,37.57,38.16,570956.0,38.0427,9524
2025-01-14,38.56,39.65,38.41,39.65,505240.0,39.1547,9996
2025-01-15,40.41,40.42,38.99,39.8,545612.0,39.6997,12857
2025-01-16,39.69,40.13,39.13,39.79,394678.0,39.7961,8037
2025-01-17,39.71,39.81,38.67,38.84,830583.0,38.9658,10207
2025-01-21,39.25,39.6,38.96,39.54,646552.0,39.4013,12244
2025-01-22,39.71,39.99,39.135,39.29,590678.0,39.386,10892
2025-01-23,39.05,39.29,38.64,38.9,521688.0,38.9199,8259
2025-01-24,38.96,39.25,38.73,38.9,361339.0,38.9209,9546
2025-01-27,38.81,40.25,38.24,38.59,523597.0,39.0428,12167
2025-01-28,38.81,39.52,38.33,39.1,705225.0,38.9984,14601
2025-01-29,39.04,39.25,38.41,38.82,614048.0,38.792,9431
2025-01-30,38.95,39.34,38.74,38.95,566986.0,38.962,8757
2025-01-31,39.45,39.62,38.18,38.52,523313.0,38.7347,10062
2025-02-03,37.32,38.54,36.97,38.51,615856.0,38.1093,12265
2025-02-04,38.67,39.06,38.38,38.79,614259.0,38.776,11197
2025-02-05,38.66,39.33,38.43,39.28,646824.0,38.9463,12276
2025-02-06,39.38,39.39,38.21,38.26,390253.0,38.598,8835
2025-02-07,38.5,38.84,37.85,38.12,527078.0,38.1934,9859
2025-02-10,38.58,38.98,38.09,38.3,484733.0,38.3767,11467
2025-02-11,37.93,38.475,37.58,37.93,535098.0,37.8896,12920
2025-02-12,37.37,37.75,36.46,36.79,1744392.0,36.9511,25243
2025-02-13,35.3,36.45,33.7,34.82,1800670.0,34.7941,26664
2025-02-14,34.72,35.93,34.08,35.55,1545975.0,35.3501,21291
2025-02-18,35.74,35.75,34.01,34.18,1302495.0,34.5685,21017
2025-02-19,33.92,34.1,33.31,33.72,1034257.0,33.7029,18095
2025-02-20,33.61,33.78,32.02,32.68,1213958.0,32.5664,22054
2025-02-21,32.93,33.24,31.52,31.71,789794.0,31.8953,13906
2025-02-24,31.78,31.87,30.815,31.48,905263.0,31.4234,19535
2025-02-25,31.45,31.6,30.62,30.78,683879.0,30.9143,18539
2025-02-26,30.98,31.47,30.13,30.2,1132290.0,30.4447,20429
2025-02-27,30.31,30.5642,29.11,29.32,996452.0,29.6307,20113
2025-02-28,29.27,29.3952,28.63,29.09,977259.0,29.0339,16839
2025-03-03,29.03,29.14,27.9475,28.35,1103931.0,28.4544,18739
2025-03-04,27.96,29.12,27.95,28.67,1107387.0,28.6982,18687
2025-03-05,28.47,28.74,27.97,28.68,921915.0,28.3974,15320
2025-03-06,28.29,28.76,28.0,28.29,738156.0,28.3511,14477
2025-03-07,28.12,29.27,28.07,29.25,1015067.0,28.8533,16436
2025-03-10,28.98,29.13,27.6705,28.0,1366447.0,28.02,21371
2025-03-11,28.16,28.33,27.39,27.54,816291.0,27.7865,17002
2025-03-12,27.54,28.34,27.17,28.09,944697.0,27.8603,17479
2025-03-13,27.82,27.88,26.77,26.79,699310.0,27.0918,16141
2025-03-14,27.09,28.04,27.0,27.99,789322.0,27.7308,16769
2025-03-17,27.99,29.24,27.98,29.1,867116.0,28.9551,21991
2025-03-18,28.36,29.245,28.262,29.05,725752.0,28.836,16012
2025-03-19,29.03,29.75,28.86,29.34,712509.0,29.4154,16546
2025-03-20,29.07,29.19,28.28,28.35,873959.0,28.5635,19813
2025-03-21,27.96,28.52,27.5,28.29,2233037.0,28.2242,18647
2025-03-24,28.55,30.95,28.5,29.7,1216685.0,29.7334,20755
2025-03-25,29.8,29.9,29.07,29.48,794683.0,29.4214,14546
2025-03-26,29.49,29.92,28.74,29.2,807580.0,29.3131,13308
2025-03-27,29.09,29.43,28.6,28.71,641707.0,29.0094,11419
2025-03-28,28.51,28.695,27.295,27.59,575213.0,27.7423,12655
2025-03-31,26.9,27.07,25.98,26.51,913664.0,26.3733,15748
2025-04-01,26.16,26.8583,25.975,26.78,735509.0,26.5269,14691
2025-04-02,26.62,27.52,26.2,27.44,899915.0,27.0351,12727
2025-04-03,26.49,26.595,25.48,25.58,744288.0,25.7596,15400
2025-04-04,24.5,24.97,23.33,23.68,1292159.0,23.883,22105
2025-04-07,22.59,24.31,22.0832,23.27,1768606.0,23.1628,23239
2025-04-08,24.14,24.53,22.33,22.94,1633053.0,23.285,20179
2025-04-09,22.95,25.235,22.66,24.75,1391938.0,24.2708,20071
2025-04-10,24.04,24.241,22.57,22.77,961104.0,22.9651,16130
2025-04-11,22.93,23.69,22.44,23.57,1246855.0,23.1052,18728
2025-04-14,23.85,24.48,22.96,23.66,863686.0,23.5876,14424
2025-04-15,23.43,23.77,22.99,23.07,683070.0,23.1903,14182
2025-04-16,22.7,23.3,22.46,22.83,749066.0,22.8073,15757
2025-04-17,22.81,22.89,22.29,22.56,1266505.0,22.5332,12716
2025-04-21,22.52,22.72,21.61,21.9,1346786.0,21.909,14308
2025-04-22,22.34,23.0,22.01,22.91,1029197.0,22.7193,15988
2025-04-23,23.77,24.71,23.14,23.26,982609.0,23.7949,16999
2025-04-24,23.45,24.06,23.405,23.78,688763.0,23.7234,11894
2025-04-25,23.69,24.08,23.505,24.065,579587.0,23.9099,13016
2025-04-28,24.07,24.5,23.75,24.23,500373.0,24.1434,10527
2025-04-29,24.21,24.63,24.165,24.26,981573.0,24.3273,14879
2025-04-30,23.53,23.77,23.06,23.62,617627.0,23.5814,12803
2025-05-01,23.98,24.005,23.29,23.41,965838.0,23.5553,15800
2025-05-02,23.83,24.09,23.58,23.83,947097.0,23.8144,14005
2025-05-05,23.93,24.63,23.5,24.09,939440.0,24.1832,14862
2025-05-06,23.79,24.46,23.67,24.07,703464.0,24.1131,14473
2025-05-07,24.5,24.86,23.69,24.53,618555.0,24.4513,13734
2025-05-08,24.74,25.55,24.67,25.23,561365.0,25.2793,11531
2025-05-09,25.38,25.86,25.11,25.14,2218821.0,25.281,23510
2025-05-12,26.37,27.1,26.04,26.74,1742429.0,26.7916,25579
2025-05-13,25.17,25.47,23.85,24.56,2121901.0,24.7713,31540
2025-05-14,24.52,24.59,23.75,23.84,1029898.0,23.9574,19054
2025-05-15,23.74,23.74,23.11,23.55,1146755.0,23.4887,15678
2025-05-16,23.46,23.795,23.1583,23.72,831548.0,23.6326,14583
2025-05-19,23.14,23.458,23.0,23.14,494763.0,23.1814,10658
2025-05-20,23.1,23.44,22.91,23.36,766035.0,23.2842,11704
2025-05-21,22.96,23.18,22.72,22.91,676102.0,22.9302,14990
2025-05-22,22.825,23.28,22.69,23.01,569310.0,23.0826,11185
2025-05-23,22.61,23.09,22.55,22.96,478979.0,22.9459,10908
2025-05-27,23.33,23.55,23.0,23.22,629055.0,23.2543,14037
2025-05-28,23.18,23.235,22.22,22.37,610191.0,22.5053,14028
2025-05-29,22.64,22.92,22.12,22.84,716934.0,22.6897,13831
2025-05-30,22.8,23.045,22.54,22.95,756144.0,22.9282,12985
2025-06-02,22.76,23.45,22.68,23.26,809236.0,23.2264,16118
2025-06-03,23.26,24.03,23.11,23.99,608718.0,23.6818,12239
2025-06-04,23.99,24.48,23.29,23.36,885415.0,23.5962,16542
2025-06-05,23.37,23.68,23.07,23.17,522407.0,23.2998,11550
2025-06-06,23.47,23.975,23.25,23.72,723885.0,23.7035,12521
2025-06-09,23.92,23.96,23.6,23.61,499817.0,23.7403,13018
2025-06-10,23.9,24.49,23.73,24.34,653603.0,24.299,14476
2025-06-11,24.5,24.72,23.92,24.01,720142.0,24.1909,13849
2025-06-12,23.97,24.135,23.64,23.73,516079.0,23.8253,11432
2025-06-13,23.48,24.17,23.39,23.52,803012.0,23.5974,16210
2025-06-16,23.62,23.895,23.255,23.54,713593.0,23.512,14268
2025-06-17,23.23,23.89,23.23,23.335,828451.0,23.5689,17233
2025-06-18,23.18,23.6999,23.15,23.53,932422.0,23.4692,16736
2025-06-20,23.69,23.69,22.66,23.39,3177027.0,23.3201,21355
2025-06-23,23.05,23.4,22.75,23.22,575478.0,23.2336,13676
2025-06-24,23.49,23.91,22.56,23.4,963404.0,23.4556,17821
2025-06-25,23.36,24.26,23.31,23.39,571813.0,23.4709,12796
2025-06-26,23.44,23.57,22.95,23.14,757419.0,23.1674,15176
2025-06-27,23.27,23.335,22.6,22.7,1400764.0,22.7881,17624
2025-06-30,22.97,23.28,22.735,23.13,837594.0,23.0679,14584
2025-07-01,23.14,24.19,22.86,24.04,818021.0,23.8102,14995
2025-07-02,23.99,24.155,23.4,24.0,614653.0,23.9216,14118
2025-07-03,24.22,24.5329,24.18,24.37,317341.0,24.3515,8806
2025-07-07,24.16,24.695,23.825,23.89,484672.0,24.04,13343
2025-07-08,23.98,24.635,23.884,24.4,754204.0,24.3762,12266
2025-07-09,24.38,25.85,24.33,25.59,997860.0,25.309,17810
2025-07-10,25.4,25.57,24.11,24.11,944180.0,24.3924,18920
2025-07-11,23.96,24.42,22.915,22.99,841889.0,23.3254,16229
2025-07-14,22.86,23.07,22.71,22.8,588399.0,22.8503,12121
2025-07-15,23.0,23.1,22.52,22.53,603054.0,22.7061,14148
2025-07-16,22.57,22.7,22.2,22.56,502114.0,22.5337,10505
2025-07-17,22.5,22.75,22.3,22.33,709081.0,22.4511,11957
2025-07-18,22.6,22.7317,22.16,22.31,1211770.0,22.3283,14462
2025-07-21,22.43,22.79,22.3,22.67,619894.0,22.6061,14500
